Name,Address,Amenities,Specialties,OpeningHours,ContactEmail,ContactPhone,Pricing
Monica Dance Pilates Studio,,"Ballet Classes, Pilates Group Classes, Pilates Equipment, One-to-One and Duet Sessions","Classical Ballet, Point Work, Contemporary Dance, Pilates, Stretching & Strengthening","{""Monday-Friday"":""14:30-20:00""}",MONIKAPILATESTUDIO@HOTMAIL.COM,99785748,
Vinyasa Yoga Studio Limassol,"6 Ypsilanti, Athina Court, Neapolis, Limassol, Cyprus","Yoga Studio, Private Classes, Aerial Yoga Space","Ashtanga Vinyasa Yoga, Mysore Yoga, Vinyasa Yoga, Aerial Yoga, YogaWorks, Prenatal Yoga, Private Yoga Classes","{""Monday"":{""Morning"":""8:30AM-10:00AM"",""Evening"":""6:30PM-8:30PM""},""Tuesday"":{""Morning"":""No Morning Classes"",""Evening"":""6:00PM-8:00PM""},""Wednesday"":{""Morning"":""8:30AM-10:00AM"",""Evening"":""6:30PM-8:00PM""},""Thursday"":{""Morning"":""8:00AM-10:00AM"",""Evening"":""6:00PM-8:00PM""},""Friday"":{""Morning"":""8:30AM-10:00AM"",""Evening"":""6:30PM-8:00PM""},""Saturday"":{""Morning"":""8:30AM-10:00AM"",""Evening"":""No Evening Classes""},""Sunday"":""Closed""}",info@vinyasayogacyprus.com,"25106848, 99160096",No specific pricing information available in HTML
Personal Fitness Assistant,"Eleftherias 119, Limassol","Water, Towel, Nutritionist Visit","Strength Training, Cardio, TRX, HIIT, 3D Training, Animal Flow Stretching, Foam Rolling",{},,#ERROR!,"8 Trainings for 1 month: 750€, 12 Trainings for 1 month: 1030€, 20 Trainings for 2 months: 1599€"
Soul Vibe Space,,,,"{
Monday        07:30 - 21:00
Tuesday        07:30 - 21:00
Wednesday        07:00 - 21:00
Thursday        08:00 - 22:00
Friday        08:00 - 21:00
Saturday        07:30 - 24:00
Sunday        07:30 - 21:00
}",,,
no.75space,"Thesalonikis 75, 3025 Limassol, Cyprus","Lockers, Showers, Men's Dressing Room, Ladies' Dressing Room, Reformer & Wunda Chair Equipment","Pilates, Private Sessions, Group Sessions, Core Align, Equipment Training","{""Monday-Friday"":""06:30-21:00""}",info@no75space.com,#ERROR!,"{""GroupSessionsEquipment"":{""SingleClass"":""€20"",""5ClassCard"":""€90"",""10ClassCard"":""€150"",""20ClassCard"":""€260""},""PrivateSessions"":{""SingleClass"":""€60"",""10ClassCard"":""€500""},""SemiPrivateSessions"":{""SingleClass"":""€40"",""10ClassCard"":""€350""}}"
CHECKMAT Limassol,"Pafou 74, Limassol, 3051, CY","BJJ Classes, Boxing, Kids Classes, Mobility Training, Open Mat","Brazilian Jiu-Jitsu (BJJ), No-Gi BJJ, Boxing, Kids Martial Arts","{""Monday"":""8:00-21:00"",""Tuesday"":""8:30-20:30"",""Wednesday"":""8:00-21:00"",""Thursday"":""8:30-20:30"",""Friday"":""8:00-22:30"",""Saturday"":""No sessions"",""Sunday"":""No sessions""}",club@checkmat.cy,35797442244,Not specified on website
MMA School The Cage,"Jean Sibelius & Γεωργίου Παυλίδη 12, Limassol, Cyprus",,"Taekwondo, Wrestling, Muay Thai, Boxing, Mixed Martial Arts, Kickboxing, Brazilian Jiu Jitsu","{""Monday-Sunday"":""06:30 - 21:45""}",stefos-cy@hotmail.com,35799817412,
Gymania Fitness Club,,"Fitness Area, Group Classes, Changing Rooms, Kids Playground","Zumba, Pilates, Trampolines, Shaping, Abs & Legs, Anti-Stress Stretching, TRX, Yoga, Abs Workout",,,,Weekend Offer: 35 Euros per month
Lumpinee Gym,"Akarnanias 4 Yermasogia, Agios Athanasios, Limassol","Muay Thai Training, Personal Training, Kids' Classes, Competitive Training","Muay Thai, Muay Boran, Kids Martial Arts, Personal Training, Fight Preparation","{""Monday"":""6:30 am – 9:00 pm"",""Tuesday"":""6:30 am – 9:00 pm"",""Wednesday"":""6:30 am – 9:00 pm"",""Thursday"":""6:30 am – 9:00 pm"",""Friday"":""6:30 am – 9:00 pm"",""Saturday"":""11:00 am – 1:00 pm"",""Sunday"":""Closed""}",lumpineegymlimassol@gmail.com,#ERROR!,Not specified on website
Peak Condition,"152 Vasileos Konstantinou, 1st Floor, Limassol, 3080, Cyprus","Cardio room, Free weights room, Resistance machine room, Class training room, Consultation area, Changing rooms, Hot showers, Complementary towels, Shower products, Body lotions, Moisturisers, Air conditioning","Personal Training, Group Training, Exercise Rehabilitation, Corporate Fitness, 12 Week Body Transformation, 12 Weeks To Peak Condition, Online Training",{},,#ERROR!,Free consultation included in Personal Training packages. Two world-class personal fitness packages available for 3-month transformations. Specific prices not listed on this page.
